parameter_name,Eyelid morphology
gene_symbol,Zyg11b
mouse_strain,C57BL
pvalue,0.1840455
gene_accession_id,MGI:2685277
analysis_id,1g1pn401b302116
parameter_id,IMPC_EYE_004_001
mouse_life_stage,E18.5
