parameter_name,HRV
gene_accession_id,MGI:99915
analysis_id,uflgvl1v13s2451
gene_symbol,Lamb3
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
pvalue,0.7245649
