gene_symbol,Cisd2
pvalue,0.9775499
analysis_id,y6460d3an3fg588
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_007_001
parameter_name,Whole arena resting time
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
