analysis_id,twb0bko66b3c29x
pvalue,0.0550128
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
gene_symbol,Ahcy
gene_accession_id,MGI:87968
