gene_symbol,Slc30a4
mouse_strain,C57BL
analysis_id,5p133w2a6fk796v
mouse_life_stage,Late adult
pvalue,0.7242815
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:1345282
parameter_id,JAXLA_CSD_007_001
