analysis_id,wgs4u41pclg88w3
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
pvalue,0.2713507
parameter_id,MGP_IMM_015_001
mouse_strain,C57BL
