gene_symbol,Clvs1
parameter_id,MGP_IMM_020_001
mouse_strain,C57BL
parameter_name,Effector gd T cells - % of gd T cells
pvalue,0.6276834
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
analysis_id,tacf0hepvidh2db
