analysis_id,6ar9rehf086m4xh
parameter_name,Neutrophil differential count
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_029_001
pvalue,0.4266714
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
