analysis_id,31431hqfz0906c4
pvalue,0.6963114
gene_symbol,Steap3
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
