parameter_name,Fat mass
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,54gc5o54q538uw2
gene_accession_id,MGI:1913396
parameter_id,IMPC_DXA_002_001
gene_symbol,Maco1
pvalue,0.9448191
