analysis_id,7869aq579ovicj3
mouse_strain,C57BL
gene_accession_id,MGI:2443129
gene_symbol,Golm2
parameter_id,IMPC_ECG_003_001
parameter_name,CV
pvalue,0.4731582
mouse_life_stage,Early adult
