parameter_name,B cell number
pvalue,0.2816344
parameter_id,MGP_PBI_034_001
analysis_id,ptz71f3silj19f2
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E12.5
