gene_symbol,Rap2b
analysis_id,7x9c7o586xqk062
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
parameter_id,JAXLA_CSD_041_002
parameter_name,Hindpaw - size
pvalue,0.5127829
