parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
mouse_life_stage,E15.5
Pvalue,0.8312089
gene_accession_id,MGI:95457
Analysis_id,vp1wd30y6ugeoam
Mouse_strain,C57BL
Gene_symbol,Mecom
