parameter_id,IMPC_ACS_037_001
parameter_name,% Pre-pulse inhibition - Global
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
pvalue,0.1806289
analysis_id,vk95yxb2s46ti4i
mouse_strain,C57BL
mouse_life_stage,Early adult
