gene_symbol,Pglyrp3
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:2685266
pvalue,0.4025133
mouse_life_stage,Early adult
analysis_id,2sgct6w5347wa65
mouse_strain,C57BL
