analysis_id,qs6ku00d823sy1m
mouse_strain,C57BL
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
gene_symbol,Zcchc2
parameter_name,Monocytes
pvalue,0.5712089
parameter_id,IMPC_IMM_051_001
