analysis_id,5u1esk64ncd633z
parameter_id,IMPC_CBC_018_001
pvalue,0.8360906
parameter_name,Glucose
gene_symbol,Sdcbp2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
