gene_symbol,Ints7
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,38711b2rs6y7pa5
pvalue,0.3603716
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_073_001
gene_accession_id,MGI:1924315
