analysis_id,bf1w2z153u71m9r
gene_accession_id,MGI:1917604
parameter_name,Lens
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
pvalue,0.619476
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
