analysis_id,i59quj07h63q7ev
parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
pvalue,0.9239727
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_name,Macrophages - % of CD45+
gene_symbol,Bcs1l
