parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
parameter_name,Placenta Size
mouse_life_stage,Early adult
pvalue,0.2792036
gene_accession_id,MGI:1309468
analysis_id,a6vsw17r900wzq1
gene_symbol,Casq1
