gene_symbol,Tiprl
parameter_id,IMPC_IMM_046_001
mouse_life_stage,Early adult
pvalue,0.2521659
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_name,DN CD44+CD62L- NKT cells
analysis_id,wc4usb3mgw6mivw
