analysis_id,37n0bo97b841423
Mouse_strain,C57BL
Mouse_life_stage,Early adult
Gene_accession_id,MGI:1913405
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
Pvalue,0.08082664
gene_symbol,Ufc1
