parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:2448481
parameter_name,Number of rears - total
gene_symbol,Mgst2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.09713133
analysis_id,24uov614g560r90
