parameter_id,IMPC_GEL_060_001
analysis_id,786c6a033n53j3q
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
pvalue,0.343764
parameter_name,Neural tube morphology
gene_accession_id,MGI:2385156
mouse_strain,C57BL
