parameter_id,JAX_SLW_013_001
pvalue,0.1906722
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
parameter_name,Breath rate during sleep mean
analysis_id,b46728923lq4gvv
mouse_life_stage,Early adult
mouse_strain,C57BL
