analysis_id,m006hah021342t5
pvalue,0.9812341
gene_accession_id,MGI:88174
parameter_name,Calcium
gene_symbol,Bmi1
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
mouse_life_stage,E12.5
