gene_symbol,Bach2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0
gene_accession_id,MGI:894679
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
analysis_id,u0rr449c1q9z117
parameter_id,MGP_IMM_028_001
