parameter_name,Percent time in light
gene_symbol,Mapkap1
mouse_strain,C57BL
pvalue,0.1673346
mouse_life_stage,E12.5
analysis_id,wo320gt999b2z63
gene_accession_id,MGI:2444554
parameter_id,JAX_LDT_009_001
