analysis_id,3xkr1qs729dsikv
mouse_strain,C57BL
pvalue,0.7816756
gene_accession_id,MGI:97054
gene_symbol,Mov10
parameter_name,PP3 + pulse startle magnitude
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
