parameter_name,LDL-cholesterol
analysis_id,29367pb1x7nv7lr
mouse_life_stage,Early adult
pvalue,0.1696617
mouse_strain,C57BL
gene_symbol,Extl1
parameter_id,IMPC_CBC_025_001
gene_accession_id,MGI:1888742
