parameter_id,M-G-P_020_001_001
pvalue,0.7487137
parameter_name,Body Weight
gene_accession_id,MGI:88174
gene_symbol,Bmi1
analysis_id,d4mt5pytohb5ewd
mouse_life_stage,E15.5
mouse_strain,C57BL
