analysis_id,70hgqh6g6py1r2t
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
gene_accession_id,MGI:1338022
pvalue,0.5361582
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Opn3
