analysis_id,91xx912qs872kv4
pvalue,0.6320125
gene_accession_id,MGI:1915848
parameter_id,IMPC_DXA_009_001
gene_symbol,Dnajc8
mouse_strain,C57BL
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
