parameter_name,Snout size
parameter_id,MGP_CSD_067_001
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
analysis_id,4u0dq04r07094fb
pvalue,0.09278854
mouse_life_stage,Late adult
