analysis_id,t39mzsndk8d5vjq
parameter_name,Potassium
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
gene_symbol,Stk35
parameter_id,GMC_906_001_005
pvalue,0.4431989
mouse_strain,C57BL
