analysis_id,u59cy442h889myd
mouse_life_stage,Early adult
parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:3650254
mouse_strain,C57BL
gene_symbol,Zfp683
pvalue,0.2100575
