analysis_id,f58kq2735x5783f
gene_accession_id,MGI:1913284
parameter_id,IMPC_GEP_084_001
pvalue,0.1256263
mouse_life_stage,Early adult
gene_symbol,Psmd14
mouse_strain,C57BL
parameter_name,Limb morphology
