parameter_name,Hindlimb nail - number
gene_symbol,Abo
parameter_id,IMPC_CSD_051_002
pvalue,0.7591111
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
analysis_id,83453i212l675k8
mouse_strain,C57BL
