analysis_id,78j790i104ia016
pvalue,0.09990717
gene_accession_id,MGI:2446186
parameter_name,% Pre-pulse inhibition - PPI1
gene_symbol,Lpgat1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ACS_033_001
