analysis_id,b8a544o9d894249
mouse_strain,C57BL
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
parameter_id,IMPC_XRY_018_001
parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
pvalue,0.7215872
