analysis_id,2457602180yb74y
pvalue,0.3607276
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
parameter_name,Fat/Body weight
mouse_strain,C57BL
gene_symbol,Mecom
parameter_id,IMPC_DXA_009_001
