gene_symbol,Tatdn3
pvalue,0.3833479
gene_accession_id,MGI:1916222
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
analysis_id,771snxi3vu7op07
mouse_strain,C57BL
