gene_symbol,Sema6c
gene_accession_id,MGI:1338032
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_IMM_071_001
pvalue,0.06997159
analysis_id,yon9m805mf78zu8
mouse_life_stage,Early adult
mouse_strain,C57BL
