analysis_id,fdl70mr1027uq59
parameter_id,IMPC_CBC_053_001
pvalue,0.7845075
parameter_name,Thyroxine
mouse_strain,C57BL
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
mouse_life_stage,Early adult
