analysis_id,e5r7xjnmm2f010h
mouse_life_stage,Early adult
parameter_name,Number of centre entries
gene_accession_id,MGI:2673000
parameter_id,ESLIM_007_001_015
gene_symbol,Trim46
pvalue,0.9366655
mouse_strain,C57BL
