analysis_id,7de98764r654018
parameter_id,M-G-P_016_001_006
gene_symbol,Steap3
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
pvalue,0.866359
mouse_strain,C57BL
parameter_name,Mean-corpuscular-haemoglobin
