analysis_id,52p0y28b21xzh08
parameter_id,JAX_LDT_008_001
pvalue,0.331272
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_name,Percent time in dark
