analysis_id,vi94h9fpof5612o
pvalue,0.7747322
mouse_life_stage,E12.5
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_id,IMPC_GRS_009_001
gene_symbol,Fgb
