analysis_id,106hjbs9fz80nq5
mouse_life_stage,E18.5
parameter_id,MGP_PBI_018_001
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.2143949
