parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
analysis_id,70z24yr8lut365l
pvalue,0.7586748
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
