gene_symbol,Tatdn3
parameter_id,MGP_IMM_066_001
analysis_id,qn8ppe7twh16wd8
parameter_name,CD11b-high cDC - % of cDC
pvalue,0.1980391
mouse_life_stage,Early adult
mouse_strain,C54BL
gene_accession_id,MGI:1916222
