analysis_id,3375sv4507v0l2a
parameter_name,Alkaline phosphatase
pvalue,0.959143
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
