gene_symbol,Tiprl
mouse_life_stage,Early adult
parameter_name,Cornea vascularisation
analysis_id,5118ms62muj967v
mouse_strain,C57BL
pvalue,0.6579847
gene_accession_id,MGI:1915087
parameter_id,ESLIM_014_001_008
