gene_symbol,Ssr2
pvalue,0.8763559
analysis_id,swfa03974e7f649
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1913506
parameter_id,MGP_IMM_101_001
mouse_life_stage,Early adult
