analysis_id,950lt1xd4ljt323
gene_accession_id,MGI:2444113
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
gene_symbol,Nemp2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4365664
