gene_symbol,Atf3
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
parameter_id,MGP_MLN_063_001
pvalue,0.9223609
analysis_id,2986s022y9xm98d
