analysis_id,sv5376bvki73g5r
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_life_stage,Early adult
parameter_id,MGP_MLN_031_001
pvalue,0
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
