parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
gene_symbol,Hpca
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
pvalue,0.8856944
analysis_id,xx0r92b29g11307
