gene_symbol,Mecom
parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
analysis_id,d7n401qa587w960
pvalue,0.9404973
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E15.5
