parameter_name,Body position
analysis_id,p189q8755y50426
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
pvalue,0.724145
parameter_id,ESLIM_008_001_001
mouse_strain,C57BL
gene_symbol,Bach2
