parameter_name,Snout size
gene_accession_id,MGI:88071
analysis_id,s1vysc14s1e6536
parameter_id,IMPC_CSD_028_001
pvalue,0.6026232
mouse_life_stage,Early adult
gene_symbol,Arnt
mouse_strain,C57BL
