parameter_name,Neural tube morphology
mouse_strain,C57BL
pvalue,0.6998656
analysis_id,wj752i91q958vz1
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
gene_symbol,Slc30a4
parameter_id,IMPC_GEL_060_001
